"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"139","acta mathematica sinica-english series","131","1439-8516","0.419","0.48","0.47","0.54","0.579","0.543","acta math sin"
"140","acta mathematicae applicatae sinica-english series","127","0168-9673","0.385","0.328","0.289","0.371","0.315","-","acta math appl sin-e"
"141","acta mechanica","134","0001-5970","1.268","1.247","1.292","1.024","1.137","1.297","acta mech"
"142","acta mechanica sinica","132","0567-7718","0.616","0.688","0.86","0.749","0.865","0.939","acta mech sinica"
"143","acta mechanica sinica","132","0567-7718","0.616","0.688","0.86","0.749","0.865","0.939","acta mech sinica-prc"
"144","acta mechanica solida sinica","133","0894-9166","0.651","1.33","0.766","0.543","0.465","0.552","acta mech solida sin"
"145","acta medica okayama","135","0386-300X","0.746","0.652","0.657","0.721","0.837","0.969","acta med okayama"
"146","acta medica portuguesa","137","1646-0758","0.281","0.151","0.091","0.256","-","-","acta medica port"
"147","acta metallurgica sinica","139","0412-1961","0.548","0.612","0.464","0.477","0.483","0.474","acta metall sin"
"148","acta metallurgica sinica-english letters","138","1006-7191","0.426","0.467","0.407","-","-","-","acta metall sin-engl"
"149","acta meteorologica sinica","140","0894-0525","1.111","0.799","0.534","0.704","0.874","-","acta meteorol sin"
"150","acta microbiologica et immunologica hungarica","141","1217-8950","0.78","0.646","0.787","0.625","-","-","acta microbiol imm h"
"151","acta microscopica","142","0798-4545","0.024","-","0.202","-","-","-","acta microsc"
"152","acta montanistica slovaca","143","1335-1788","0.053","0.094","0.084","0.134","-","-","acta montan slovaca"
"153","acta naturae","144","2075-8251","0.872","0.477","-","-","-","-","acta naturae"
"154","acta neurobiologiae experimentalis","145","0065-1400","2.244","1.977","2.11","1.533","1.337","1.091","acta neurobiol exp"
"155","acta neurochirurgica","146","0001-6268","1.788","1.546","1.52","1.329","1.472","1.634","acta neurochir"
"156","acta neurologica belgica","147","0300-9009","0.598","0.466","0.535","0.416","0.597","0.77","acta neurol belg"
"157","acta neurologica scandinavica","148","0001-6314","2.437","2.474","2.469","2.153","2.324","2.317","acta neurol scand"
"158","acta neuropathologica","149","0001-6322","9.777","9.734","9.32","7.695","6.397","5.31","acta neuropathol"
"159","acta neuropsychiatrica","150","1601-5215","0.639","0.606","0.577","0.529","0.944","1.38","acta neuropsychiatr"
"160","acta obstetricia et gynecologica scandinavica","151","0001-6349","1.985","1.85","1.771","1.86","1.618","1.356","acta obstet gyn scan"
"161","acta oceanologica sinica","152","0253-505X","0.684","0.583","0.494","0.476","0.481","0.441","acta oceanol sin"
"162","acta odontologica scandinavica","153","0001-6357","1.309","1.358","1.066","1.13","1.412","1.095","acta odontol scand"
"163","acta oecologica-international journal of ecology","154","1146-609X","1.841","1.621","1.57","1.46","1.609","1.456","acta oecol"
"164","acta of bioengineering and biomechanics","72","1509-409X","0.979","0.333","0.449","0.432","-","-","acta bioeng biomech"
"165","acta oncologica","155","0284-186X","3.71","2.867","3.33","3.137","2.265","2.739","acta oncol"
"166","acta ophthalmologica","156","1755-375X","2.512","2.345","2.629","2.809","2.441","2.138","acta ophthalmol"
"167","acta ornithologica","157","0001-6454","1.478","1.681","1.229","0.889","1.018","0.882","acta ornithol"
"168","acta orthopaedica","160","1745-3674","2.452","2.736","2.168","1.897","1.909","1.762","acta orthop"
