"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"7682","pesquisa veterinaria brasileira","7329","0100-736X","0.437","0.538","0.51","0.575","0.563","0.425","pesqui vet brasil"
"7683","pesquisa veterinaria brasileira","7329","0100-736X","0.437","0.538","0.51","0.575","0.563","0.425","pesquisa vet brasil"
"7684","pest management science","7330","1526-498X","2.743","2.594","2.251","2.313","2.19","2.040","pest manag sci"
"7685","pesticide biochemistry and physiology","7331","0048-3575","2.009","2.111","1.713","1.503","1.719","1.276","pestic biochem phys"
"7686","petroleum chemistry","7332","0965-5441","0.392","0.451","0.374","0.358","0.404","0.328","petrol chem+"
"7687","petroleum geoscience","7333","1354-0793","0.8","1.5","1.161","1.294","1.22","0.808","petrol geosci"
"7688","petroleum science","7335","1672-5107","0.523","0.534","0.474","0.432","0.174","-","pet sci"
"7689","petroleum science","7335","1672-5107","0.523","0.534","0.474","0.432","0.174","-","petrol sci"
"7690","petroleum science and technology","7334","1091-6466","0.33","0.3","0.335","0.254","0.236","0.280","pet sci technol"
"7691","petroleum science and technology","7334","1091-6466","0.33","0.3","0.335","0.254","0.236","0.280","petrol sci technol"
"7692","petrology","7336","0869-5911","0.882","0.986","1.054","1.069","0.912","1.031","petrology+"
"7693","petrology","7336","0869-5911","0.882","0.986","1.054","1.069","0.912","1.031","petrology"
"7694","petrophysics","7337","1529-9074","-","0.4","0.298","0.315","0.265","0.304","petrophysics"
"7695","pferdeheilkunde","7338","0177-7726","0.237","0.208","0.235","0.358","0.32","0.333","pferdeheilkunde"
"7696","pflege","7339","1012-5302","0.468","0.46","0.182","0.298","-","-","pflege"
"7697","pflugers archiv-european journal of physiology","7340","0031-6768","3.073","4.866","4.463","3.354","3.695","3.526","pflug arch eur j phy"
"7698","pharmaceutical biology","7341","1388-0209","1.337","1.206","0.878","0.638","0.672","0.488","pharm biol"
"7699","pharmaceutical chemistry journal","7342","0091-150X","0.3","0.32","0.373","-","-","-","pharm chem j+"
"7700","pharmaceutical chemistry journal","7342","0091-150X","0.3","0.32","0.373","-","-","-","pharm chem j"
"7701","pharmaceutical development and technology","7343","1083-7450","1.335","1.333","1.363","1.107","0.895","0.975","pharm dev technol"
"7702","pharmaceutical research","7345","0724-8741","3.952","4.742","4.093","4.456","3.277","4.024","pharmaceut res"
"7703","pharmaceutical research","7345","0724-8741","3.952","4.742","4.093","4.456","3.277","4.024","pharm res"
"7704","pharmaceutical research","7345","0724-8741","3.952","4.742","4.093","4.456","3.277","4.024","pharm res-dordr"
"7705","pharmaceutical research","7345","0724-8741","3.952","4.742","4.093","4.456","3.277","4.024","pharm res-dord"
"7706","pharmaceutical statistics","7346","1539-1604","1.102","0.99","2.067","1.63","1.957","1.652","pharm stat"
"7707","pharmacoeconomics","7348","1170-7690","3.338","2.861","2.663","3.44","2.612","2.808","pharmacoeconomics"
"7708","pharmacoepidemiology and drug safety","7349","1053-8569","3.172","2.897","2.528","2.339","2.527","2.516","pharmacoepidem dr s"
"7709","pharmacogenetics and genomics","7350","1744-6872","3.45","3.608","3.485","3.865","3.991","4.409","pharmacogenet genom"
"7710","pharmacogenomics","7352","1462-2416","3.425","3.857","3.974","3.876","3.893","3.551","pharmacogenomics"
"7711","pharmacogenomics journal","7351","1470-269X","5.513","5.134","4.536","4.306","4.398","5.435","pharmacogenomics j"
"7712","pharmacognosy magazine","7353","0973-1296","1.112","1.525","1.159","0.432","-","-","pharmacogn mag"
"7713","pharmacological reports","7355","1734-1140","2.165","1.965","2.445","2.5","2.086","2.167","pharmacol rep"
"7714","pharmacological research","7356","1043-6618","3.976","4.346","4.436","3.612","3.929","3.287","pharmacol res"
"7715","pharmacological reviews","7357","0031-6997","18.551","22.345","20.225","18.861","17","21.936","pharmacol rev"
"7716","pharmacology","7359","0031-7012","1.581","1.603","1.788","1.802","1.833","1.894","pharmacology"
"7717","pharmacology & therapeutics","7358","0163-7258","7.745","7.793","8.562","8.694","8.897","9.443","pharmacol therapeut"
"7718","pharmacology biochemistry and behavior","7354","0091-3057","2.82","2.608","2.532","2.624","2.967","2.751","pharmacol biochem be"
"7719","pharmacopsychiatry","7360","0176-3679","2.168","2.109","2.071","2.203","2.317","2.402","pharmacopsychiatry"
"7720","pharmacotherapy","7361","0277-0008","2.204","2.311","2.9","2.631","2.726","2.527","pharmacotherapy"
"7721","pharmacy world & science","7347","0928-1231","-","1.265","1.215","1.037","0.919","1.016","pharm world sci"
"7722","pharmazeutische industrie","7344","0031-711X","-","0.194","0.186","0.138","0.155","0.180","pharm ind"
"7723","pharmazie","7362","0031-7144","1.003","0.962","1.006","0.869","0.812","0.858","pharmazie"
"7724","phase transitions","7363","0141-1594","1.044","0.863","1.006","1.006","0.935","1.201","phase transit"
"7725","philippine agricultural scientist","7365","0031-7454","0.368","0.315","0.321","0.357","0.145","0.227","philipp agric sci"
"7726","philippine journal of crop science","7366","0115-463X","0.039","0.152","0.075","0.089","0.102","-","philipp j crop sci"
"7727","philosophia mathematica","7369","0031-8019","0.433","0.333","-","-","-","-","philos math"
"7728","philosophical magazine","7368","1478-6435","1.427","1.596","1.51","1.302","1.273","1.384","philos mag"
"7729","philosophical magazine letters","7364","0950-0839","1.268","1.156","1.241","1.262","1.53","1.548","phil mag lett"
"7730","philosophy of science","7370","0031-8248","0.667","0.649","0.552","0.602","0.562","0.485","philos sci"
"7731","philosophy of science","7370","0031-8248","0.667","0.649","0.552","0.602","0.562","0.485","roy i ph s"
"7732","phlebologie","7374","0939-978X","-","0.456","0.879","0.733","0.831","1.058","phlebologie"
"7733","phlebologie-annales vasculaires","7373","0031-8280","0.113","-","-","-","-","-","phlebol-ann vasc"
"7734","phlebology","7375","0268-3555","1.917","1.458","2.072","2.698","1.548","0.877","phlebology"
"7735","phonetica","7376","0031-8388","0.417","0.696","1.6","1.16","0.591","0.550","phonetica"
"7736","phosphorus sulfur and silicon and the related elements","7377","1042-6507","0.827","0.601","0.716","0.621","0.515","0.692","phosphorus sulfur"
"7737","photochemical & photobiological sciences","7378","1474-905X","2.939","2.923","2.584","2.378","2.708","2.144","photoch photobio sci"
"7738","photochemical & photobiological sciences","7378","1474-905X","2.939","2.923","2.584","2.378","2.708","2.144","photochem photobio s"
"7739","photochemistry and photobiology","7379","0031-8655","2.684","2.287","2.413","2.679","2.253","2.287","photochem photobiol"
"7740","photodermatology photoimmunology & photomedicine","7380","0905-4383","1.295","1.516","1.305","1.424","1.604","1.476","photodermatol photo"
"7741","photodiagnosis and photodynamic therapy","7381","1572-1000","2.524","2.243","2.522","2.302","-","-","photodiagn photodyn"
"7742","photogrammetric engineering and remote sensing","7382","0099-1112","2.071","1.802","1.048","0.926","1.11","1.846","photogramm eng rem s"
"7743","photogrammetric record","7384","0031-868X","1.377","1.44","1.098","0.925","0.927","1.417","photogramm rec"
"7744","photogrammetrie fernerkundung geoinformation","7383","1432-8364","0.429","0.741","0.377","0.27","-","-","photogramm fernerkun"
"7745","photomedicine and laser surgery","7385","1549-5418","1.58","1.634","1.255","1.633","1.756","1.785","photomed laser surg"
"7746","photonic network communications","7387","1387-974X","0.75","0.448","0.485","0.6","0.765","0.427","photonic netw commun"
"7747","photonics and nanostructures-fundamentals and applications","7386","1569-4410","1.35","1.792","1.681","2.75","2.131","1.940","photonics nanostruct"
"7748","photonics and nanostructures-fundamentals and applications","7386","1569-4410","1.35","1.792","1.681","2.75","2.131","1.940","photonic nanostruct"
"7749","photonics spectra","7388","0731-1230","0.129","0.075","0.067","0.157","0.105","0.154","photonic spectra"
"7750","photonics spectra","7388","0731-1230","0.129","0.075","0.067","0.157","0.105","0.154","photon spectra"
"7751","photosynthesis research","7389","0166-8595","3.185","3.15","3.243","2.41","2.303","2.681","photosynth res"
"7752","photosynthetica","7390","0300-3604","1.007","0.862","1","1.016","1.072","1.000","photosynthetica"
"7753","phycologia","7392","0031-8884","1.82","1.647","2","2.08","1.218","1.210","phycologia"
"7754","phycological research","7391","1322-0829","0.955","1.086","1.543","1.186","1.246","0.955","phycol res"
"7755","physica a-statistical mechanics and its applications","7438","0378-4371","1.722","1.676","1.373","1.521","1.562","1.441","physica a"
"7756","physica b-condensed matter","7439","0921-4526","1.276","1.327","1.063","0.856","1.056","0.822","physica b"
"7757","physica c-superconductivity and its applications","7440","0921-4534","1.11","0.718","1.014","1.407","0.723","0.740","physica c"
"7758","physica d-nonlinear phenomena","7441","0167-2789","1.829","1.669","1.594","1.555","1.568","1.926","physica d"
"7759","physica e-low-dimensional systems & nanostructures","7442","1386-9477","1.856","1.522","1.532","1.304","1.177","1.230","physica e"
"7760","physica medica","7410","1120-1797","1.849","1.167","1.068","1.316","1.045","0.698","phys medica"
"7761","physica scripta","7427","0031-8949","1.296","1.032","1.204","0.982","1.088","0.970","phys scripta"
"7762","physica status solidi-rapid research letters","7431","1862-6254","2.343","2.388","2.218","2.66","2.56","2.147","phys status solidi-r"
"7763","physica status solidi a-applications and materials science","7429","1862-6300","1.525","1.469","1.463","1.458","1.228","1.205","phys status solidi a"
"7764","physica status solidi b-basic research","7430","0370-1972","1.605","1.489","1.316","1.344","1.15","1.166","phys status solidi b"
"7765","physical & occupational therapy in pediatrics","7413","0194-2638","1.418","1.235","1.208","-","-","-","phys occup ther pedi"
"7766","physical biology","7394","1478-3967","3.14","2.62","2.595","3.109","3.086","3.137","phys biol"
"7767","physical chemistry chemical physics","7395","1463-9076","4.198","3.829","3.573","3.453","4.116","4.064","phys chem chem phys"
"7768","physical geography","7403","0272-3646","0.571","0.947","0.983","0.683","0.81","0.613","phys geogr"
"7769","physical medicine and rehabilitation clinics of north america","7408","1047-9651","1.089","1.482","1.4","1.364","-","-","phys med rehabil cli"
"7770","physical medicine and rehabilitation clinics of north america","7408","1047-9651","1.089","1.482","1.4","1.364","-","-","phys med reh clin n"
"7771","physical mesomechanics","7411","1029-9599","0.541","-","-","-","1.552","-","phys mesomech"
"7772","physical review a","7418","1050-2947","2.991","3.042","2.878","2.861","2.866","2.908","phys rev a"
"7773","physical review b","7419","1098-0121","3.664","3.767","3.691","3.772","3.475","3.322","phys rev b"
"7774","physical review c","7420","0556-2813","3.881","3.715","3.308","3.416","3.477","3.124","phys rev c"
"7775","physical review d","7421","1550-7998","4.864","4.691","4.558","4.964","4.922","5.050","phys rev d"
"7776","physical review e","7422","1539-3755","2.326","2.313","2.255","2.352","2.4","2.508","phys rev e"
"7777","physical review letters","7423","0031-9007","7.728","7.943","7.37","7.621","7.328","7.180","phys rev lett"
"7778","physical review special topics-accelerators and beams","7424","1098-4402","1.517","1.565","1.52","1.661","1.63","1.551","phys rev spec top-ac"
"7779","physical review special topics-physics education research","7425","1554-9178","1.573","1.529","0.902","2.302","1.237","-","phys rev spec top-ph"
"7780","physical review x","7426","2160-3308","8.385","6.711","-","-","-","-","phys rev x"
"7781","physical therapy","7433","0031-9023","3.245","2.778","3.113","2.645","2.082","2.190","phys ther"
"7782","physical therapy in sport","7432","1466-853X","1.373","1.367","1.043","1.065","0.674","0.612","phys ther sport"
"7783","physician and sportsmedicine","7443","0091-3847","1.49","1.344","1.023","-","-","-","physician sportsmed"
"7784","physicochemical problems of mineral processing","7444","1643-1049","0.862","0.58","0.5","-","-","-","physicochem probl mi"
"7785","physics-uspekhi","7435","1063-7869","1.892","1.865","2.154","2.245","2.628","2.471","phys-usp+"
"7786","physics and chemistry of glasses-european journal of glass science and technology part b","7397","1753-3562","0.562","0.764","0.628","0.5","0.553","0.432","phys chem glasses-b"
"7787","physics and chemistry of liquids","7398","0031-9104","0.517","0.813","0.603","0.555","0.58","0.621","phys chem liq"
"7788","physics and chemistry of minerals","7399","0342-1791","1.403","1.304","1.73","1.876","1.597","1.524","phys chem miner"
"7789","physics and chemistry of the earth","7396","1474-7065","1.255","1.037","1.11","0.917","0.975","1.138","phys chem earth"
"7790","physics essays","7401","0836-1398","0.245","0.356","0.276","-","-","-","phys essays"
"7791","physics in medicine and biology","7407","0031-9155","2.922","2.701","2.829","3.056","2.781","2.784","phys med biol"
"7792","physics in perspective","7415","1422-6944","0.367","0.394","0.214","0.136","0.5","0.440","phys perspect"
"7793","physics letters a","7404","0375-9601","1.626","1.766","1.632","1.963","2.009","2.174","phys lett a"
"7794","physics letters b","7405","0370-2693","6.019","4.569","3.955","5.255","5.083","4.034","phys lett b"
"7795","physics of atomic nuclei","7393","1063-7788","0.595","0.539","0.568","0.563","0.539","0.491","phys atom nucl+"
"7796","physics of fluids","7402","1070-6631","2.04","1.942","1.926","1.722","1.638","1.738","phys fluids"
"7797","physics of life reviews","7406","1571-0645","9.478","6.583","7.208","4.875","3.773","2.545","phys life rev"
"7798","physics of metals and metallography","7412","0031-918X","0.605","0.573","0.54","0.465","0.477","0.412","phys met metallogr+"
"7799","physics of metals and metallography","7412","0031-918X","0.605","0.573","0.54","0.465","0.477","0.412","phys met metallogr"
"7800","physics of particles and nuclei","7414","1063-7796","0.743","0.672","0.519","1.1","0.935","1.015","phys part nuclei"
"7801","physics of particles and nuclei","7414","1063-7796","0.743","0.672","0.519","1.1","0.935","1.015","phys part nuclei+"
"7802","physics of plasmas","7416","1070-664X","2.249","2.376","2.147","2.32","2.475","2.427","phys plasmas"
"7803","physics of the earth and planetary interiors","7400","0031-9201","2.398","2.383","2.319","2.64","1.993","2.353","phys earth planet in"
"7804","physics of the solid state","7428","1063-7834","0.782","0.769","0.711","0.727","0.721","0.682","phys solid state+"
"7805","physics of wave phenomena","7436","1541-308X","0.301","0.185","0.384","0.714","-","-","phys wave phenom"
"7806","physics reports-review section of physics letters","7417","0370-1573","22.91","22.929","20.394","19.438","17.752","18.522","phys rep"
"7807","physics today","7434","0031-9228","5.893","6.762","5.648","4.432","4.437","3.674","phys today"
"7808","physics world","7437","0953-8585","0.289","0.452","0.417","0.561","0.883","0.686","phys world"
"7809","physikalische medizin rehabilitationsmedizin kurortmedizin","7409","0940-6689","0.446","0.262","0.313","0.357","0.333","-","phys med rehab kuror"
"7810","physiologia plantarum","7451","0031-9317","3.262","3.656","3.112","3.067","2.708","2.334","physiol plantarum"
"7811","physiological and biochemical zoology","7446","1522-2152","2.05","2.456","2.201","2.394","2.19","2.532","physiol biochem zool"
"7812","physiological and molecular plant pathology","7450","0885-5765","1.987","1.506","1.377","1.197","1.407","1.409","physiol mol plant p"
"7813","physiological entomology","7447","0307-6962","1.434","1.417","1.33","1.417","1.358","1.533","physiol entomol"
"7814","physiological genomics","7448","1094-8341","2.812","2.806","2.735","3.368","3.931","3.436","physiol genomics"
"7815","physiological measurement","7449","0967-3334","1.617","1.496","1.677","1.567","1.43","1.691","physiol meas"
"7816","physiological research","7452","0862-8408","1.487","1.531","1.555","1.646","1.43","1.653","physiol res"
"7817","physiological reviews","7453","0031-9333","29.041","30.174","26.866","28.417","37.726","35.000","physiol rev"
"7818","physiology","7454","1548-9213","5.645","6.75","7.953","7.657","6.945","7.159","physiology"
"7819","physiology & behavior","7445","0031-9384","3.033","3.16","2.869","2.891","3.295","2.806","physiol behav"
"7820","physiotherapy","7456","0031-9406","2.106","1.57","1.558","0.641","0.773","0.561","physiotherapy"
"7821","physiotherapy canada","7455","0300-0508","0.61","0.518","0.54","-","-","-","physioth can"
"7822","physiotherapy canada","7455","0300-0508","0.61","0.518","0.54","-","-","-","physiother can"
"7823","phytochemical analysis","7457","0958-0344","2.45","2.48","2.633","1.848","1.744","1.542","phytochem analysis"
"7824","phytochemistry","7460","0031-9422","3.35","3.05","3.351","3.15","3.104","2.946","phytochemistry"
"7825","phytochemistry letters","7458","1874-3900","1.542","1.179","1.222","1.364","0.957","0","phytochem lett"
"7826","phytochemistry reviews","7459","1568-7767","2.894","4.147","4.333","-","-","-","phytochem rev"
"7827","phytocoenologia","7461","0340-269X","0.393","1","0.697","0.618","0.674","0.429","phytocoenologia"
"7828","phytomedicine","7462","0944-7113","2.877","2.972","3.268","2.662","2.174","2.330","phytomedicine"
"7829","phyton-annales rei botanicae","7463","0079-2047","0.388","0.435","0.833","0.462","0.537","0.175","phyton-ann rei bot a"
"7830","phyton-international journal of experimental botany","7464","1851-5657","0.257","0.177","-","-","-","-","phyton-int j exp bot"
"7831","phytoparasitica","7465","0334-2123","0.675","0.724","0.887","0.527","0.577","0.554","phytoparasitica"
"7832","phytopathologia mediterranea","7466","0031-9465","1.293","0.791","1.398","0.403","1.117","0.559","phytopathol mediterr"
"7833","phytopathology","7467","0031-949X","2.746","2.968","2.799","2.428","2.223","2.192","phytopathology"
"7834","phytoprotection","7468","0031-9511","-","0.25","-","0.219","0.414","0.360","phytoprotection"
"7835","phytotaxa","7469","1179-3155","1.376","1.295","1.797","-","-","-","phytotaxa"
"7836","phytotherapy research","7470","0951-418X","2.397","2.068","2.086","1.878","1.746","1.772","phytother res"
"7837","pigment & resin technology","7472","0369-9420","0.662","0.616","0.707","0.581","0.657","0.769","pigm resin technol"
"7838","pigment cell & melanoma research","7471","1755-1471","5.641","5.839","5.059","4.75","4.344","4.634","pigm cell melanoma r"
"7839","pituitary","7473","1386-341X","2.222","2.667","1.83","2.282","2.021","-","pituitary"
"7840","placenta","7474","0143-4004","3.285","3.117","3.693","2.985","2.767","2.775","placenta"
"7841","planetary and space science","7475","0032-0633","1.63","2.109","2.224","2.344","2.067","2.506","planet space sci"
"7842","plant and cell physiology","7483","0032-0781","4.978","4.134","4.702","4.257","3.594","3.542","plant cell physiol"
"7843","plant and soil","7508","0032-079X","3.235","2.638","2.733","2.773","2.517","1.998","plant soil"
"7844","plant biology","7476","1435-8603","2.405","2.32","2.395","2.409","2.223","1.944","plant biology"
"7845","plant biology","7476","1435-8603","2.405","2.32","2.395","2.409","2.223","1.944","plant biol"
"7846","plant biosystems","7477","1126-3504","-","1.912","1.418","0.829","0.744","0.517","plant biosyst"
"7847","plant biotechnology","7479","1342-4580","1.056","0.935","0.944","0.853","-","-","curr top microbiol"
"7848","plant biotechnology","7479","1342-4580","1.056","0.935","0.944","0.853","-","-","plant biotechnol-nar"
"7849","plant biotechnology","7479","1342-4580","1.056","0.935","0.944","0.853","-","-","plant biotechnol"
"7850","plant biotechnology journal","7478","1467-7644","5.677","6.279","5.442","4.886","4.732","4.419","plant biotechnol j"
"7851","plant biotechnology reports","7480","1863-5466","1.59","1.051","1.187","1.119","1.167","0.706","plant biotechnol rep"
"7852","plant breeding","7481","0179-9541","1.338","1.175","1.596","1.391","1.026","1.280","plant breeding"
"7853","plant cell","7486","1040-4651","9.575","9.251","8.987","9.396","9.293","9.296","plant cell"
"7854","plant cell and environment","7482","0140-7791","5.906","5.135","5.215","5.145","5.081","4.666","plant cell environ"
"7855","plant cell reports","7484","0721-7714","2.936","2.509","2.274","2.279","2.301","1.946","plant cell rep"
"7856","plant cell tissue and organ culture","7485","0167-6857","2.612","3.633","3.09","1.243","1.271","1.017","plant cell tiss org"
"7857","plant disease","7487","0191-2917","2.742","2.455","2.449","2.387","2.121","1.874","plant dis"
"7858","plant ecology","7490","1385-0237","1.64","1.534","1.829","1.88","1.567","1.730","plant ecol"
"7859","plant ecology & diversity","7488","1755-0874","1.14","0.924","1.036","2.053","-","-","plant ecol divers"
"7860","plant ecology and evolution","7489","2032-3913","0.96","1.192","1.167","","-","-","plant ecol evol"
"7861","plant foods for human nutrition","7491","0921-9668","2.416","2.358","2.505","2.463","2.016","1.690","plant food hum nutr"
"7862","plant genetic resources-characterization and utilization","7492","1479-2621","1.057","0.728","-","-","-","-","plant genet resour-c"
"7863","plant genome","7493","1940-3372","3.878","2.463","-","-","-","-","plant genome-us"
"7864","plant growth regulation","7494","0167-6903","1.625","1.67","1.604","1.63","1.53","1.333","plant growth regul"
"7865","plant journal","7495","0960-7412","6.815","6.582","6.16","6.948","6.946","6.493","plant j"
"7866","plant methods","7496","1746-4811","2.586","2.667","2.833","3.277","2.976","-","plant methods"
"7867","plant molecular biology","7498","0167-4412","4.072","3.518","4.15","4.149","3.978","3.541","plant mol biol"
"7868","plant molecular biology reporter","7497","0735-9640","2.374","5.319","2.453","0.825","0.711","0.741","plant mol biol rep"
"7869","plant omics","7499","1836-0661","0.777","0.347","1.734","0.794","0","-","plant omics"
"7870","plant pathology","7500","0032-0862","2.969","2.729","2.125","2.237","2.368","1.820","plant pathol"
"7871","plant pathology journal","7501","1598-2254","0.755","0.667","0.533","0.682","0.744","-","plant pathology j"
"7872","plant physiology","7503","0032-0889","7.394","6.555","6.535","6.451","6.235","6.110","plant physiol"
"7873","plant physiology and biochemistry","7502","0981-9428","2.352","2.775","2.838","2.402","2.485","1.905","plant physiol bioch"
"7874","plant production science","7504","1343-943X","0.92","0.802","1","0.925","0.868","0.758","plant prod sci"
"7875","plant reproduction","7505","2194-7953","-","-","-","-","-","-",""
"7876","plant reproduction","7505","2194-7953","-","-","-","-","-","-","plant reprod"
"7877","plant science","7506","0168-9452","4.114","2.922","2.945","2.481","2.05","1.974","plant sci"
"7878","plant soil and environment","7507","1214-1178","1.113","1.113","1.078","1.076","0.697","-","plant soil environ"
"7879","plant species biology","7509","0913-557X","1.327","1.283","0.792","0.596","0.833","0.886","plant spec biol"
"7880","plant systematics and evolution","7510","0378-2697","1.154","1.312","1.335","1.369","1.41","1.440","plant syst evol"
"7881","planta","7513","0032-0935","3.376","3.347","3","3.098","3.372","3.088","planta"
"7882","planta daninha","7511","0100-8358","0.422","-","-","-","1.204","-","planta daninha"
"7883","planta medica","7512","0032-0943","2.339","2.348","2.153","2.369","2.037","1.960","planta med"
"7884","plasma chemistry and plasma processing","7514","0272-4324","1.599","1.728","1.602","1.798","2.039","2.167","plasma chem plasma p"
"7885","plasma devices and operations","7515","1051-9998","-","-","0.375","0.517","0.64","0.588","plasma devices oper"
"7886","plasma physics and controlled fusion","7516","0741-3335","2.386","2.369","2.425","2.466","2.409","2.299","plasma phys contr f"
"7887","plasma physics reports","7517","1063-780X","0.747","0.664","0.655","0.668","0.584","0.785","plasma phys rep"
"7888","plasma physics reports","7517","1063-780X","0.747","0.664","0.655","0.668","0.584","0.785","plasma phys rep+"
"7889","plasma processes and polymers","7518","1612-8850","2.964","3.73","2.468","1.643","4.037","2.921","plasma process polym"
"7890","plasma science & technology","7519","1009-0630","0.596","0.514","0.407","0.553","0.38","0.402","plasma sci technol"
"7891","plasma sources science & technology","7520","0963-0252","3.056","2.515","2.521","2.218","2.384","2.685","plasma sources sci t"
"7892","plasmid","7521","0147-619X","1.76","1.276","1.516","1.798","1.816","1.255","plasmid"
"7893","plasmonics","7522","1557-1955","2.738","2.425","2.989","3.526","3.723","3.488","proc spie"
"7894","plasmonics","7522","1557-1955","2.738","2.425","2.989","3.526","3.723","3.488","plasmonics"
"7895","plastic and reconstructive surgery","7524","0032-1052","3.328","3.535","3.382","2.635","2.743","2.591","plast reconstr surg"
"7896","plastics engineering","7523","0091-9578","-","0.25","0.05","0.11","0.07","0.065","plast eng"
"7897","plastics rubber and composites","7525","1465-8011","0.675","0.631","0.597","0.374","0.257","0.443","plast rubber compos"
"7898","platelets","7526","0953-7104","2.627","2.24","1.847","2.117","2.272","2.271","platelets"
"7899","platinum metals review","7527","0032-1400","2.294","2.194","1.361","-","-","-","platin met rev"
"7900","plos biology","7528","1545-7885","11.771","12.69","11.452","12.469","12.916","12.683","plos biol"
"7901","plos computational biology","7529","1553-7358","4.829","4.867","5.215","5.515","5.759","5.895","plos comput biol"
"7902","plos genetics","7530","1553-7404","8.167","8.517","8.694","9.543","9.532","8.883","plos genet"
"7903","plos medicine","7531","1549-1676","14","15.253","16.269","15.617","13.05","12.185","plos med"
"7904","plos neglected tropical diseases","7532","1935-2735","4.489","4.569","4.716","4.752","4.693","4.172","plos neglect trop d"
"7905","plos one","7533","1932-6203","3.534","3.73","4.092","4.411","4.351","-","plos one"
"7906","plos pathogens","7534","1553-7374","8.057","8.136","9.127","9.079","8.978","9.125","plos pathog"
"7907","pm&r","7535","1934-1482","1.662","1.372","-","-","-","-","pm&amp;r"
"7908","pmm journal of applied mathematics and mechanics","7536","0021-8928","0.307","0.261","0.323","0.352","0.36","0.348","pmm-j appl math mec+"
"7909","point veterinaire","7537","0335-4997","-","-","-","-","0.114","0.065","point vet"
"7910","polar biology","7548","0722-4060","2.071","2.006","1.659","1.445","1.691","1.515","polar biol"
"7911","polar record","7549","0032-2474","0.621","0.981","0.962","0.889","0.582","0.583","polar rec"
"7912","polar research","7550","0800-0395","1.686","1.622","1.616","1.444","0.909","1.276","polar res"
"7913","polimeros-ciencia e tecnologia","7551","0104-1428","0.632","0.493","0.522","0.436","0.333","-","polimeros"
"7914","polimery","7552","0032-2725","0.617","0.47","-","-","-","-","polimery-w"
"7915","polish journal of chemical technology","7539","1509-8117","0.474","0.444","0.337","0.333","-","-","pol j chem technol"
"7916","polish journal of chemistry","7540","0137-5083","-","-","0.393","0.441","0.523","0.518","pol j chem"
"7917","polish journal of ecology","7541","1505-2249","0.554","0.503","0.506","0.542","0.384","0.443","pol j ecol"
"7918","polish journal of environmental studies","7542","1230-1485","0.6","0.462","0.508","0.543","0.947","0.963","pol j environ stud"
"7919","polish journal of microbiology","7543","1733-1331","0.871","0.768","0.76","0.66","-","-","pol j microbiol"
"7920","polish journal of pathology","7544","1233-9687","0.832","0.49","0.347","0.456","-","-","pol j pathol"
"7921","polish journal of veterinary sciences","7545","1505-1773","0.712","0.57","0.565","0.507","0.435","0.465","pol j vet sci"
"7922","polish maritime research","7546","1233-2585","0.3","0.324","0.175","0.114","0.057","-","pol marit res"
"7923","polish polar research","7547","0138-0338","0.788","0.745","0.875","0.767","-","-","pol polar res"
"7924","polskie archiwum medycyny wewnetrznej-polish archives of internal medicine","7538","0032-3772","2.052","1.833","1.367","-","-","-","pol arch med wewn"
"7925","polycyclic aromatic compounds","7553","1040-6638","0.833","1.044","1.023","0.982","0.774","0.741","polycycl aromat comp"
"7926","polyhedron","7554","0277-5387","2.047","1.813","2.057","2.033","2.207","1.801","polyhedron"
"7927","polymer","7571","0032-3861","3.766","3.379","3.438","3.828","3.573","3.331","polymer"
"7928","polymer-korea","7563","0379-153X","0.433","0.48","0.433","0.337","0.464","0.610","polym-korea"
"7929","polymer-plastics technology and engineering","7564","0360-2559","-","1.481","1.279","0.557","0.42","0.456","polym-plast technol"
"7930","polymer bulletin","7556","0170-0839","1.491","1.332","1.532","1.215","1.014","1.127","polym bull"
"7931","polymer chemistry","7557","1759-9954","5.368","5.231","5.321","","-","-","polym chem-uk"
"7932","polymer composites","7558","0272-8397","1.455","1.482","1.231","0.998","1.194","1.054","polym composite"
"7933","polymer degradation and stability","7559","0141-3910","2.633","2.77","2.769","2.594","2.154","2.320","polym degrad stabil"
"7934","polymer engineering and science","7560","0032-3888","1.441","1.243","1.302","1.296","1.248","1.245","polym eng sci"
"7935","polymer international","7561","0959-8103","2.247","2.125","1.902","2.056","2.137","2.029","polym int"
"7936","polymer journal","7562","0032-3896","1.554","1.496","1.258","1.133","1.386","1.456","polym j"
"7937","polymer reviews","7566","1558-3724","6.593","7.794","6.281","8","5.612","4.829","polym rev"
"7938","polymer science series a","7567","0965-545X","0.88","0.669","0.838","0.659","0.688","0.543","polym sci ser a+"
"7939","polymer science series b","7568","1560-0904","0.633","0.44","0.558","0.421","0.29","0.272","polym sci ser b+"
"7940","polymer science series c","7569","1811-2382","0.652","0.625","-","0.81","0.293","0.189","polym sci ser c+"
"7941","polymer testing","7570","0142-9418","1.816","1.646","1.608","2.016","1.667","1.736","polym test"
"7942","polymers","7572","2073-4360","2.505","1.687","-","-","-","-","polymers-basel"
"7943","polymers & polymer composites","7565","0967-3911","0.255","0.309","0.326","0.558","0.47","0.355","polym polym compos"
"7944","polymers for advanced technologies","7555","1042-7147","1.964","1.635","2.007","1.776","1.532","2.017","polym advan technol"
